C,Story,Emotion,Val
0.11,Fear,Joy,0.0004438485856256543
0.11,Fear,Pride,0.0006269376354370351
0.11,Fear,Sadness,0.00514722775234603
0.11,Fear,Shame,0.01011041213976333
0.11,Fear,Boredom,0.0003984870595931143
0.11,Fear,Fear,0.982434093995647
0.11,Fear,Happiness,0.0005284354596782958
0.11,Fear,Joy,0.00044555464912472665
0.11,Fear,Pride,0.0006292576831422863
0.11,Fear,Sadness,0.005254434000196408
0.11,Fear,Shame,0.01030973715261774
0.11,Fear,Boredom,0.0004023993053261243
0.11,Fear,Fear,0.9820731437855996
0.11,Fear,Happiness,0.000533089302951077
0.11,Fear,Joy,0.0004474987896161682
0.11,Fear,Pride,0.0006318712456244875
0.11,Fear,Sadness,0.005376194629712713
0.11,Fear,Shame,0.010535802941169285
0.11,Fear,Boredom,0.0003956461018498472
0.11,Fear,Fear,0.9826938278756381
0.11,Fear,Happiness,0.0005250541937789706
0.11,Fear,Joy,0.00044416144648259367
0.11,Fear,Pride,0.0006273650189837499
0.11,Fear,Sadness,0.005166913038987931
0.11,Fear,Shame,0.010147032324278746
0.11,Happiness,Boredom,0.008131316602089546
0.11,Happiness,Fear,0.0003876164036862932
0.11,Happiness,Happiness,0.855323447248944
0.11,Happiness,Joy,0.0006397206408866686
0.11,Happiness,Pride,0.08167079912433106
0.11,Happiness,Sadness,0.0007164725455457226
0.11,Happiness,Shame,0.05313062743451654
0.11,Happiness,Boredom,0.002819300376336509
0.11,Happiness,Fear,0.00043169131082433995
0.11,Happiness,Happiness,0.9781260476293813
0.11,Happiness,Joy,0.00028055148588817586
0.11,Happiness,Pride,0.006686258691545104
0.11,Happiness,Sadness,0.0007632428074861359
0.11,Happiness,Shame,0.010892907698538259
0.11,Happiness,Boredom,0.008824178366172076
0.11,Happiness,Fear,0.00038832566727156224
0.11,Happiness,Happiness,0.8244208161410527
0.11,Happiness,Joy,0.0007069301039567354
0.11,Happiness,Pride,0.10365895835806778
0.11,Happiness,Sadness,0.00074352237301186
0.11,Happiness,Shame,0.06125726899046722
0.11,Happiness,Boredom,0.008131316602089546
0.11,Happiness,Fear,0.0003876164036862932
0.11,Happiness,Happiness,0.855323447248944
0.11,Happiness,Joy,0.0006397206408866686
0.11,Happiness,Pride,0.08167079912433106
0.11,Happiness,Sadness,0.0007164725455457226
0.11,Happiness,Shame,0.05313062743451654
0.11,Happiness,Boredom,0.051071617586728416
0.11,Happiness,Fear,0.00044323711792177626
0.11,Happiness,Happiness,0.9384138140950498
0.11,Happiness,Joy,0.00039306289800006744
